"serialnumber","listyear","daterecorded","town","address","assessedvalue","saleamount","salesratio","propertytype","residentialtype","nonuse.code","assessorremarks","opmremarks","location","assessedvalue_true"
80716,2008,"06/26/2009","New Haven","113 HUNTINGTON AV",142660,149.3,0.955525787,"Single Family","Single Family","","","","",203.8
80348,2008,"04/17/2009","New Haven","58 SHELTON AV",110320,50,2.2064,"Single Family","Single Family","13 - Bankrupcy","","","",157.6
80757,2008,"07/02/2009","New Haven","394 SUMMIT ST",123970,142,0.873028169,"Single Family","Single Family","","","","",177.1
80142,2008,"11/24/2008","New Haven","1889 ELLA T GRASSO BLVD",167440,217.5,0.76983908,"Single Family","Single Family","","","","",239.2
80040,2008,"10/17/2008","New Haven","22 HILLTOP RD",116550,50,2.331,"Single Family","Single Family","13 - Bankrupcy","","","",166.5
81050,2008,"09/18/2009","New Haven","97 PORTER ST",88620,30.072,2.946927374,"Single Family","Single Family","13 - Bankrupcy","","","",126.6
80775,2008,"07/10/2009","New Haven","32 CHAMBERS ST",152530,227.9,0.669284774,"Single Family","Single Family","","","","",217.9
80831,2008,"07/27/2009","New Haven","813 RUSSELL ST",107380,65,1.652,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.8747 41.31377)",153.4
80735,2008,"06/30/2009","New Haven","57 WINCHESTER AV",149590,175,0.8548,"Single Family","Single Family","","","","",213.7
80218,2008,"12/26/2008","New Haven","95 TERRACE ST",101360,106,0.956226415,"Single Family","Single Family","10 - A Will","","","",144.8
80334,2008,"03/31/2009","New Haven","76 WOODWARD AV",127960,62.5,2.04736,"Single Family","Single Family","10 - A Will","","","",182.8
80728,2008,"06/29/2009","New Haven","14 ORCHARD ST",91000,19,4.789473684,"Single Family","Single Family","19 - Easement","","","POINT (-72.94147 41.30204)",130
80006,2008,"10/01/2008","New Haven","332 WINTHROP AV",155400,80,1.9425,"Single Family","Single Family","13 - Bankrupcy","","","",222
80425,2008,"01/06/2009","New Haven","56 HUNTINGTON RD# 3",91070,94.8,0.960654008,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.88999 41.2806)",130.1
80956,2008,"08/24/2009","New Haven","80 WOODWARD AV",134050,52.5,2.553333333,"Single Family","Single Family","10 - A Will","","","",191.5
80974,2008,"08/28/2009","New Haven","153 WOODWARD AV",143710,89.7,1.602118172,"Single Family","Single Family","25 - Other","BELOW MARKET","","",205.3
80975,2008,"08/28/2009","New Haven","32 HOBART ST",151060,200,0.7553,"Single Family","Single Family","01 - Family","","","",215.8
80493,2008,"03/10/2009","New Haven","73 HAZEL ST",95480,47,2.031489362,"Single Family","Single Family","13 - Bankrupcy","","","",136.4
80816,2008,"07/22/2009","New Haven","23 WILSON ST",124740,85.74,1.454863541,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.93802 41.29121)",178.2
80998,2008,"09/02/2009","New Haven","52 MONROE ST",124250,34,3.654411765,"Single Family","Single Family","13 - Bankrupcy","","","",177.5
80918,2008,"08/13/2009","New Haven","27 MORRIS ST",99680,110,0.906181818,"Single Family","Single Family","","","","",142.4
80808,2008,"07/20/2009","New Haven","158 POPLAR ST",100240,40,2.506,"Single Family","Single Family","25 - Other","BELOW MARKET","","",143.2
80550,2008,"05/08/2009","New Haven","188 NEWHALL ST",105980,48,2.207916667,"Single Family","Single Family","13 - Bankrupcy","","","",151.4
80369,2008,"04/24/2009","New Haven","154 FRANK ST",67410,50,1.3482,"Single Family","Single Family","10 - A Will","","","",96.3
80957,2008,"08/24/2009","New Haven","95 GIRARD AV",151620,187,0.810802139,"Single Family","Single Family","","","","POINT (-72.89336 41.2695)",216.6
80008,2008,"10/01/2008","New Haven","104 SOUND VIEW TER",156800,300,0.522666667,"Single Family","Single Family","","","","",224
80786,2008,"07/15/2009","New Haven","41 NELSON ST",132090,115,1.148608696,"Single Family","Single Family","13 - Bankrupcy","","","POINT (-72.89169 41.26475)",188.7
80523,2008,"04/01/2009","New Haven","72 PIERPONT ST",93450,40,2.33625,"Single Family","Single Family","13 - Bankrupcy","","","",133.5
80204,2008,"12/19/2008","New Haven","485 ELM ST",107170,205,0.522780488,"Single Family","Single Family","","","","",153.1
81006,2008,"09/03/2009","New Haven","22 MANSION ST",151270,225,0.672311111,"Single Family","Single Family","","","","",216.1
80062,2008,"10/27/2008","New Haven","173 LEXINGTON AV",102830,149.789,0.686499009,"Single Family","Single Family","","","","",146.9
80052,2008,"10/22/2008","New Haven","13 KENNY DR",121380,165,0.735636364,"Single Family","Single Family","","","","POINT (-72.87692 41.32376)",173.4
80094,2008,"11/06/2008","New Haven","67 HIGHVIEW LN",131320,161,0.815652174,"Single Family","Single Family","","","","",187.6
80457,2008,"02/05/2009","New Haven","81 MORRIS ST",85890,16.9,5.082248521,"Single Family","Single Family","13 - Bankrupcy","","","",122.7
